start	end	text
0	1920	Про демонстрацию я и так могу включить.
2400	2880	Все супер.
6000	10400	Про Бабаян, завершение.
10520	13880	Можно там ту презентацию сделать?
14060	14180	Нет?
14280	15340	Не вот эти картинки.
15380	17260	Вот эти картинки, они ведь ни о чем не говорят.
20080	22000	То есть часть...
23000	26080	Ту информацию, которую у нас в презентации,
26080	29320	ее визуально, понятно, не всю презентацию сюда вставлять,
29320	34320	а те примеры, их как бы вырезать и туда поставить.
34620	36320	Ну, чтобы понятно было человеку,
36360	37860	что середина – это проблема,
38260	41600	слева – это при обычной операции,
41760	42900	и справа – как при его.
43440	44160	Да, все хорошо.
44500	46540	Потому что вот это вот как-то совсем прям
46540	47800	ничего ни о чем не говорит.
47900	49280	Это же надо комментировать тогда.
50060	50360	Хорошо.
52460	54260	Здесь отзывы.
54260	59360	Тоже такой мини-элит-магнит,
59440	60480	обсудить консультацию,
60600	63480	то есть чтобы клиентам либо сразу на форуму,
63860	65080	либо сразу в соцсети, да,
65160	66760	всевозможные, телеграмм, макс, ватсап.
70680	72800	И вопрос о приеме там.
72960	74260	Ну, такие три вопроса у нас.
74260	75840	А у меня вопрос.
76180	77220	Гульнара Ильдусовна,
77660	79940	а вот Бабаян фамилия склоняется?
82100	83260	Мне кажется…
83260	84360	По-моему, нет.
85340	86980	Мне кажется, к Бабаяну,
87340	88600	то есть не Бабаяну,
88720	89740	а Бабаян АВ.
90060	91460	Что-то у мужиков склоняется,
91520	92180	у женщин нет,
92260	93260	или наоборот у женщин склоняется.
93260	94780	А вот тут вот есть,
94880	99140	можно ли получить консультацию Бабаяна онлайн, да?
99140	103940	У искусственного интеллекта спросите.
106640	111320	Есть какое-то правило в русском языке,
111560	113180	то ли у женщин склоняется,
113300	113800	у мужчин нет,
113880	115060	то ли у мужчин склоняется,
115140	115840	у женщин нет.
116420	117520	Вот такие фамилии.
118160	121040	Да, искусственная фамилия Бабаяна склоняется,
121140	122080	если относится к мужчине.
122080	125560	Если к женщине относится, не склоняется,
125680	127380	если к мужчине относится, склоняется.
127380	129440	А, вот, вот я тоже помню,
129540	130640	кого-то склоняется.
130640	131760	Все правильно у нас написано.
132480	133180	Все отлично.
135640	136200	Супер.
137100	139040	Да, Дим, давай теперь покажем,
139320	141380	вот показали мы страницу врача,
142380	143640	давай теперь покажем цены,
143780	146680	то есть различные страницы.
147300	147900	Цены.
154280	155260	Обратите внимание,
155260	158080	сверху и в мобильной версии,
158260	159360	и в компьютерной версии
159360	160460	у нас есть выбор,
161160	163200	какие цены мы смотрим,
163300	163740	чего, да?
164340	165160	Обратно зайди, пожалуйста.
165840	166280	Консультация,
166800	167480	консультация,
167640	168800	пластика лица,
168960	169820	пластика тела.
170180	170280	Да, да.
170280	171680	Да, то есть у нас вот разбито все.
172540	172840	Угу.
173560	173760	Да.
176520	178500	Ну, вот здесь хотел уточнить,
178640	179960	не нашли у Сорвина,
180280	181580	секунду, прошу прощения,
182020	182720	суетет от исток.
182720	182980	Ага.
183820	184820	Повторная консультация
184820	185260	Сорвина,
185560	185980	цена,
186140	187220	и онлайн-консультация
187220	187740	Грицай.
188820	189900	Онлайн-консультации
189900	190980	Грицай не делает.
191820	192100	А.
192300	192740	Сорвина,
192860	194400	повторная консультация,
194880	195700	такая же цена,
195860	196440	скорее всего,
196540	197720	у него нет такой вот,
197840	198060	10,
198180	199300	везде 10 тысяч у него.
199300	202200	Почему Грицай у нас онлайн не может,
202300	202560	Гузель?
204620	206900	А как она будет кожу чупать-то?
207420	208420	Ей же надо посмотреть.
208640	208840	Нет,
209040	210380	а людям же бывает иногда
210380	211560	просто посоветоваться,
211860	213280	делайте такие препараты,
213340	213840	а как это,
213940	214380	а как то,
214500	214700	а как,
214820	215940	сколько времени пройдет,
216080	217020	а чего следы?
217480	217700	Нет,
217880	218480	совсем никак.
218480	223140	Не хочет она,
223300	223500	что ли?
224140	225740	Я предлагаю...
225740	226360	Не умеет.
226780	227860	Я спрошу у нее,
228040	229820	спрошу у нее по поводу
229820	230940	онлайн-консультации,
231000	232420	но она даже этим пользоваться
232420	233020	не умеет.
234520	235440	Она учится?
239040	240080	Смотреть надо,
240440	241060	оставить,
241160	241660	посмотреть,
241900	243460	будет такие запросы или нет?
244540	244960	Ладно.
246240	247020	Узнаем ее.
247020	248560	В конце концов,
248680	249620	сами ответите,
249780	250140	если что.
251820	252160	Я?
252400	252700	Вместе.
255660	256700	Идем ниже.
257340	257680	Значит,
257820	259160	тоже такой небольшой
259160	260420	литмагнит,
260520	261320	разбор стоимости,
261480	261700	то есть,
261800	261920	ну,
261960	263260	тоже заводим на консультацию,
263360	264340	либо написать менеджеру,
264400	264500	да?
265200	265500	Вот.
268060	269200	Дальше у нас идет,
269320	270340	где проходит операция,
270420	270500	да?
270580	270740	То есть,
270740	271980	вот этот наш мини-блок,
272340	273900	на какой базе мы делаем,
274000	275120	это либо клиника,
275340	275840	либо корл,
275840	277160	и у каждого врача
277160	278120	это тоже отмечено,
278220	278600	что там,
279120	280560	один врач,
280680	280920	значит,
281000	282240	оперирует в корле,
282360	283700	второй в миллениуме там.
284620	285260	Я это вижу.
286400	286600	Да?
287240	287800	Григорьевна,
287920	290460	а мы должны указывать о том,
290560	291700	что все перевязки,
291780	292420	снятие шоу,
292460	293360	проводятся у нас?
294220	294600	Да и не.
294600	295340	Нас как...
295340	297460	А почему
297460	299460	это мы себя здесь
299460	300440	не должны указывать?
301280	301340	Нет?
301340	302080	Мы же на...
302080	303120	Давайте не будем уж
303120	304340	столько много информации
304340	305040	лишь писать.
306100	306540	Единственное,
306600	307040	вот смотрите,
307160	308300	когда заходите вообще
308300	309360	во вкладку врачи,
309420	310780	там все врачи выходят,
310820	311840	и внизу сразу пишут
311840	313060	операционная база корл.
313140	314780	Давайте вот с главной страницы
314780	316040	вот эту операционную базу
316040	316620	мы уберем.
317240	317820	Там, мне кажется,
317820	318900	ее не надо указывать.
319060	320700	А когда вот внутрь проваливаемся,
320780	321680	вот там вот внизу
321680	322160	то,
322280	323700	что на базе клиники
323700	325520	корл,
325580	326220	там оставим.
326220	327840	Здесь убираем,
328000	328100	да,
328220	328800	оставляем то,
328840	330400	что только ниже.
330600	330820	Да,
331240	331560	да,
331680	332060	да.
333580	335380	Не надо вот на главной странице
335380	336020	вот эту вот.
338980	339460	Окей.
342700	343300	Такс.
344860	345980	Давай о клинике
345980	346900	покажем мне тогда.
352960	354440	Покажи обязательно блок,
354560	355520	что мы вот добавили,
355520	355860	значит,
357660	358280	директоров.
359560	359760	Да,
359900	360860	давайте вот по текстам
360860	361420	здесь пройдем
361420	362740	в первом блоке
362740	363920	страницы у клиники.
364620	365380	Что ли окей здесь?
381380	382640	А что надо сделать?
384400	384840	Проверить.
384840	385040	Текст,
385100	386120	почитать все ли
386120	387020	нормально,
387120	387500	корректно?
388640	388800	Ну,
388880	390060	я не очень понимаю.
391620	392100	Пациент
392100	393200	приходит с запросом,
393260	393720	а команда
393720	394620	помогает выбрать
394620	395460	специалисты
395460	396300	и тактику
396300	397520	хирургическую,
397660	399020	косметологическую
399020	400900	или комбинированную
400900	402080	под анатомию
402080	402900	ткани
402900	404220	ожидания
404220	405220	и допустимый
405220	406180	объем изменений.
406180	408700	мы здесь
408700	410220	говорим о том,
410220	410520	что
410520	412480	некоторые
412480	414280	врачи
414280	417420	против того,
417560	417740	чтобы,
417860	418100	например,
418260	419360	если не обязательно
419360	421640	хирургия,
421820	422500	они говорят,
422860	423400	можно вот
423400	423900	то-то,
423940	424660	то-то уколоть,
425060	425740	и, соответственно,
425880	427140	это уже не к хирургу
427140	428480	перенаправляет
428480	429200	на консультации,
429200	430820	а, соответственно,
431340	432140	к косметологу.
433240	433680	То есть,
433780	434600	грубо отражаем здесь,
434700	435480	что наш подход,
435560	436740	он супер
436740	438480	индивидуальный,
438620	440040	и мы не стремимся
440040	440280	к тому,
440380	441400	чтобы впихнуть
441400	442840	там самое дорогое
442840	443780	и ненужное,
443920	445060	а смотрим,
446060	446680	исходя из
446680	447880	реальной ситуации,
